Entidad federativa,Inmigrante_2000,Emigrante_2000,Saldo_neto_2000,Inmigrante_2010,Emigrante_2010,Saldo_neto_2010,Inmigrante_2020,Emigrante_2020,Saldo_neto_2020
Estados Unidos Mexicanos,17220424,17220424,0,19747511,19747511,0,21611963,21611963,0
Aguascalientes,187768,116039,71729,233073,136354,96719,276430,144612,131818
Baja California,1025754,127074,898680,1299773,185457,1114316,1463949,211540,1252409
Baja California Sur,137928,29883,108045,246685,33074,213611,313283,42130,271153
Campeche,156158,89223,66935,180252,109734,70518,199443,141018,58425
Coahuila de Zaragoza,317792,425338,-107546,362707,434617,-71910,398612,438541,-39929
Colima,139290,78375,60915,182943,93157,89786,193703,114254,79449
Chiapas,122451,336140,-213689,140135,491919,-351784,174961,678362,-503401
Chihuahua,524897,202864,322033,521469,243052,278417,561040,259407,301633
Ciudad de México,1827644,4457713,-2630069,1679045,5207907,-3528862,1679063,4955432,-3276369
Durango,163607,447731,-284124,189923,461229,-271306,210697,464734,-254037
Guanajuato,389975,669729,-279754,494894,657513,-162619,557773,646602,-88829
Guerrero,167115,655538,-488423,185024,713735,-528711,195093,966482,-771389
Hidalgo,276143,579937,-303794,418529,618008,-199479,609940,654244,-44304
Jalisco,835121,726021,109100,961503,804674,156829,1067778,841477,226301
México,5059089,654711,4404378,5566585,939141,4627444,5190562,1344291,3846271
Michoacán de Ocampo,332805,909120,-576315,390086,939387,-549301,433109,953793,-520684
Morelos,431003,143964,287039,479892,171085,308807,500693,220687,280006
Nayarit,152540,204431,-51891,209581,231081,-21500,252605,244381,8224
Nuevo León,827453,228453,599000,961505,250421,711084,1319964,268647,1051317
Oaxaca,201099,843317,-642218,249076,919145,-670069,293054,1030645,-737591
Puebla,436024,884670,-448646,531496,999476,-467980,660918,1080205,-419287
Querétaro,284890,174955,109935,422346,201307,221039,686545,211297,475248
Quintana Roo,485255,34139,451116,696831,55003,641828,945101,88963,856138
San Luis Potosí,217042,594267,-377225,260447,635236,-374789,294725,684423,-389698
Sinaloa,303514,468353,-164839,267059,603265,-336206,312601,656351,-343750
Sonora,356489,208016,148473,417237,256904,160333,425906,284860,141046
Tabasco,178683,235392,-56709,197670,311328,-113658,210156,446038,-235882
Tamaulipas,678752,370722,308030,764399,427909,336490,764320,526943,237377
Tlaxcala,136504,179408,-42904,189196,192026,-2830,210269,211661,-1392
Veracruz de Ignacio de la Llave,629180,1350282,-721102,731901,1611089,-879188,762798,1990971,-1228173
Yucatán,113140,271734,-158594,156210,300624,-144414,269765,305166,-35401
Zacatecas,125319,522885,-397566,160039,512654,-352615,177107,503806,-326699
